x;new_x;absoluteError;relativeError;standart;converted
40,3000000000007;0,540704496666568;3,33066907387547E-16;6,47058382351112E-16;0,514740116923198;0,514740116923198
40,4000000000007;0,440704496666567;1,11022302462516E-16;2,60263367523171E-16;0,426576753843898;0,426576753843898
40,5000000000007;0,340704496666566;2,22044604925031E-16;6,64503435300554E-16;0,334151176847717;0,334151176847718
40,6000000000007;0,240704496666565;5,55111512312578E-16;2,32861611984656E-15;0,238386871748167;0,238386871748168
40,7000000000007;0,140704496666564;8,88178419700125E-16;6,3332436456171E-15;0,140240683826333;0,140240683826334
40,8000000000008;0,0407044966665575;4,30905311432639E-15;1,05891083561067E-13;0,0406932573491123;0,040693257349108
40,9000000000008;0,0592955033334436;3,94823063132321E-15;6,66247015927665E-14;-0,0592607627041382;-0,0592607627041421
41,0000000000008;0,159295503333445;3,58046925441613E-15;2,25722419209036E-14;-0,158622668805453;-0,158622668805456
41,1000000000008;0,259295503333446;3,10862446895044E-15;1,21241360154282E-14;-0,256399669633746;-0,256399669633749
41,2000000000008;0,359295503333447;2,66453525910038E-15;7,57799496909979E-15;-0,351614809717521;-0,351614809717524
41,3000000000008;0,459295503333448;2,27595720048157E-15;5,13393030782432E-15;-0,443316730851002;-0,443316730851005
41,4000000000008;0,559295503333449;1,88737914186277E-15;3,55713840576867E-15;-0,530589177750848;-0,53058917775085
41,5000000000008;0,65929550333345;1,4432899320127E-15;2,35616032972533E-15;-0,612560152976071;-0,612560152976072
41,6000000000008;0,759295503333451;9,99200722162641E-16;1,45146033362057E-15;-0,688410629638222;-0,688410629638223
41,7000000000008;0,711500823461444;7,7715611723761E-16;1,02610751668939E-15;-0,757382734847327;-0,757382734847328
41,8000000000008;0,611500823461443;4,44089209850063E-16;5,4237431119021E-16;-0,818787322127284;-0,818787322127285
41,9000000000008;0,511500823461442;2,22044604925031E-16;2,5463513797681E-16;-0,872010857139649;-0,87201085713965
42,0000000000008;0,411500823461441;0;0;-0,916521547915941;-0,916521547915941
42,1000000000008;0,31150082346144;0;0;-0,9518746583472;-0,9518746583472
42,2000000000008;0,211500823461439;2,22044604925031E-16;2,27105201057542E-16;-0,977716951840182;-0,977716951840182
42,3000000000008;0,111500823461438;1,11022302462516E-16;1,11716034375721E-16;-0,993790220740632;-0,993790220740632
