x;absoluteError;relativeError
-41,2999999999999;9,32587340685131E-15;4,6123125614678E-15
-41,1999999999999;1,82076576038526E-14;6,83877353855883E-15
-41,0999999999999;3,95239396766556E-14;1,04844099823664E-14
-40,9999999999999;1,17239551400417E-13;1,88353192827754E-14
-40,8999999999999;9,41469124882133E-13;5,58904037375341E-14
-40,7999999999999;2,20623519453511E-12;8,98533232798675E-14
-40,6999999999999;2,03392858111329E-13;2,88086567039187E-14
-40,5999999999999;7,63833440942108E-14;1,874932435276E-14
-40,4999999999999;7,54951656745106E-15;2,67652803958334E-15
-40,3999999999999;2,66453525910038E-15;1,25670527385298E-15
-40,2999999999999;6,66133814775094E-16;3,99938523231943E-16
-40,1999999999999;2,22044604925031E-16;1,65565212274747E-16
-40,0999999999999;1,33226762955019E-15;1,21820183736169E-15
-39,9999999999999;1,4432899320127E-15;1,61246506169719E-15
-39,8999999999999;1,77635683940025E-15;2,43585014580933E-15
-39,7999999999999;1,99840144432528E-15;3,41000642818097E-15
-39,6999999999999;2,33146835171283E-15;5,08241734023701E-15
-39,5999999999999;2,4980018054066E-15;7,29072240226178E-15
-39,4999999999999;2,80331313717852E-15;1,19676844128756E-14
-39,3999999999998;3,02535774210355E-15;2,31242155436051E-14
-39,2999999999998;3,34107741473133E-15;1,1099587066838E-13
-39,1999999999998;3,71924713249427E-15;5,31151984385273E-14
-39,0999999999998;4,16333634234434E-15;2,42671999722431E-14
-38,9999999999998;1,27675647831893E-15;4,6149057555003E-15
-38,8999999999998;9,43689570931383E-16;2,43371055590389E-15
-38,7999999999998;6,66133814775094E-16;1,31167336727252E-15
-38,6999999999998;1,11022302462516E-16;1,73245233476061E-16
-38,5999999999998;3,33066907387547E-16;4,20483428944443E-16
-38,4999999999998;1,22124532708767E-15;1,25967788546979E-15
-38,3999999999998;2,22044604925031E-15;1,87362964498347E-15
-38,2999999999998;3,99680288865056E-15;2,73957438383023E-15
-38,1999999999998;6,66133814775094E-15;3,64679136311216E-15
-38,0999999999998;1,33226762955019E-14;5,64669019416212E-15
-37,9999999999998;2,66453525910038E-14;8,2683103295964E-15
-37,8999999999998;6,75015598972095E-14;1,37456703451717E-14
-37,7999999999998;2,98427949019242E-13;3,02104134636801E-14
-37,6999999999998;4,27962731919251E-09;3,80098162788023E-12
-37,5999999999998;3,81916720471054E-13;3,7976902610103E-14
-37,4999999999998;1,03916875104915E-13;2,09689237154136E-14
-37,3999999999998;1,28785870856518E-14;3,97128455251389E-15
-37,2999999999998;5,32907051820075E-15;2,247517866865E-15
-37,1999999999998;1,99840144432528E-15;1,08942819695207E-15
-37,0999999999998;6,66133814775094E-16;4,54858648786479E-16
-36,9999999999998;6,66133814775094E-16;5,60066163714895E-16
-36,8999999999998;1,11022302462516E-15;1,14109886749028E-15
-36,7999999999998;1,55431223447522E-15;1,95511066527835E-15
-36,6999999999998;1,88737914186277E-15;2,93368462609162E-15
-36,5999999999998;2,1094237467878E-15;4,13542080515576E-15
-36,4999999999998;2,33146835171283E-15;5,98115559285439E-15
-36,3999999999998;2,55351295663786E-15;9,16642183140592E-15
-36,2999999999998;2,80331313717852E-15;1,61675401576214E-14
-36,1999999999998;3,08086889333481E-15;4,2904541408748E-14
-36,0999999999998;3,41393580072236E-15;1,20535445036851E-13
-35,9999999999998;3,83026943495679E-15;2,96863918165757E-14
-35,8999999999998;4,38538094726937E-15;1,88726309179325E-14
-35,7999999999998;1,22124532708767E-15;3,58510910869201E-15
-35,6999999999998;9,43689570931383E-16;2,0668485234297E-15
-35,5999999999998;4,44089209850063E-16;7,60874294383435E-16
-35,4999999999998;1,11022302462516E-16;1,52810058559092E-16
-35,3999999999998;5,55111512312578E-16;6,22400092623121E-16
-35,2999999999998;1,11022302462516E-15;1,01879506345028E-15
-35,1999999999998;2,66453525910038E-15;1,99415684600544E-15
-35,0999999999998;5,32907051820075E-15;3,21240025186596E-15
-34,9999999999998;8,88178419700125E-15;4,20832009608134E-15
