angle; absoluteError; relativeError
-98;82;2,22044604925031E-16;1
-98;84;5,55111512312578E-17;1
-98;86;0;NaN
-98;88;0;NaN
-98;90;5,55111512312578E-17;1
-98;92;5,55111512312578E-17;1
-98;94;2,22044604925031E-16;1
-98;96;0;NaN
-98;98;0;NaN
-96;-98;0;NaN
-96;-96;0;NaN
-96;-94;0;NaN
-96;-92;1,11022302462516E-16;1
-96;-90;0;NaN
-96;-88;0;NaN
-96;-86;2,77555756156289E-17;1
-96;-84;0;NaN
-96;-82;0;NaN
-96;-80;0;NaN
-96;-78;1,11022302462516E-16;1
-96;-76;2,22044604925031E-16;1
-96;-74;0;NaN
-96;-72;1,11022302462516E-16;1
-96;-70;1,11022302462516E-16;1
-96;-68;1,11022302462516E-16;1
-96;-66;0;NaN
-96;-64;0;NaN
-96;-62;0;NaN
-96;-60;0;NaN
-96;-58;5,55111512312578E-17;1
-96;-56;0;NaN
-96;-54;0;NaN
-96;-52;1,04083408558608E-17;1
-96;-50;0;NaN
-96;-48;1,11022302462516E-16;1
-96;-46;0;NaN
-96;-44;2,22044604925031E-16;1
-96;-42;2,77555756156289E-17;1
-96;-40;5,55111512312578E-17;1
-96;-38;0;NaN
-96;-36;6,93889390390723E-18;1
-96;-34;0;NaN
-96;-32;0;NaN
-96;-30;0;NaN
-96;-28;0;NaN
-96;-26;0;NaN
-96;-24;1,11022302462516E-16;1
-96;-22;1,11022302462516E-16;1
-96;-20;1,11022302462516E-16;1
-96;-18;1,11022302462516E-16;1
-96;-16;0;NaN
-96;-14;0;NaN
-96;-12;2,22044604925031E-16;1
-96;-10;0;NaN
-96;-8;6,93889390390723E-18;1
-96;-6;2,22044604925031E-16;1
-96;-4;0;NaN
-96;-2;0;NaN
-96;0;0;NaN
-96;2;0;NaN
-96;4;0;NaN
-96;6;2,22044604925031E-16;1
-96;8;6,93889390390723E-18;1
-96;10;0;NaN
-96;12;2,22044604925031E-16;1
-96;14;0;NaN
-96;16;0;NaN
-96;18;1,11022302462516E-16;1
-96;20;1,11022302462516E-16;1
-96;22;1,11022302462516E-16;1
-96;24;1,11022302462516E-16;1
-96;26;0;NaN
-96;28;0;NaN
-96;30;0;NaN
-96;32;0;NaN
-96;34;0;NaN
-96;36;6,93889390390723E-18;1
-96;38;0;NaN
-96;40;5,55111512312578E-17;1
-96;42;2,77555756156289E-17;1
-96;44;2,22044604925031E-16;1
-96;46;0;NaN
-96;48;1,11022302462516E-16;1
-96;50;0;NaN
-96;52;1,04083408558608E-17;1
-96;54;0;NaN
-96;56;0;NaN
-96;58;5,55111512312578E-17;1
-96;60;0;NaN
-96;62;0;NaN
-96;64;0;NaN
-96;66;0;NaN
-96;68;1,11022302462516E-16;1
-96;70;1,11022302462516E-16;1
-96;72;1,11022302462516E-16;1
-96;74;0;NaN
-96;76;2,22044604925031E-16;1
-96;78;1,11022302462516E-16;1
-96;80;0;NaN
-96;82;0;NaN
-96;84;0;NaN
-96;86;2,77555756156289E-17;1
-96;88;0;NaN
-96;90;0;NaN
-96;92;1,11022302462516E-16;1
-96;94;0;NaN
-96;96;0;NaN
-96;98;0;NaN
-94;-98;2,22044604925031E-16;1
-94;-96;0;NaN
-94;-94;0;NaN
-94;-92;0;NaN
-94;-90;2,22044604925031E-16;1
-94;-88;7,63278329429795E-17;1
-94;-86;0;NaN
-94;-84;2,22044604925031E-16;1
-94;-82;3,46944695195361E-17;1
-94;-80;0;NaN
-94;-78;0;NaN
-94;-76;5,55111512312578E-17;1
-94;-74;1,11022302462516E-16;1
-94;-72;0;NaN
-94;-70;5,55111512312578E-17;1
-94;-68;1,11022302462516E-16;1
