x;g_ginvx;absoluteError;relativeError
-0,196;-0,196;5,55111512312578E-17;2,83220159343153E-16
-0,195;-0,195;1,11022302462516E-16;5,69345140833414E-16
-0,194;-0,194;5,55111512312578E-17;2,86139954800298E-16
-0,193;-0,193;5,55111512312578E-17;2,87622545239678E-16
-0,192;-0,192;8,32667268468867E-17;4,33680868994203E-16
-0,191;-0,191;8,32667268468867E-17;4,3595144946014E-16
-0,19;-0,19;5,55111512312578E-17;2,92163953848726E-16
-0,189;-0,189;0;0
-0,188;-0,188;1,11022302462516E-16;5,90544162034658E-16
-0,187;-0,187;0;0
-0,186;-0,186;8,32667268468867E-17;4,47670574445628E-16
-0,185;-0,185;8,32667268468867E-17;4,50090415388578E-16
-0,184;-0,184;5,55111512312578E-17;3,01691039300315E-16
-0,183;-0,183;8,32667268468867E-17;4,55009436321786E-16
-0,182;-0,182;8,32667268468867E-17;4,57509488169708E-16
-0,181;-0,181;2,77555756156289E-17;1,53345721633309E-16
-0,18;-0,18;8,32667268468867E-17;4,62592926927149E-16
-0,179;-0,179;5,55111512312578E-17;3,10118163303117E-16
-0,178;-0,178;2,77555756156289E-17;1,55930200087803E-16
-0,177;-0,177;8,32667268468867E-17;4,70433485010661E-16
-0,176;-0,176;0;0
-0,175;-0,175;1,11022302462516E-16;6,34413156928662E-16
-0,174;-0,174;2,77555756156289E-17;1,59514802388672E-16
-0,173;-0,173;5,55111512312578E-17;3,20873706539063E-16
-0,172;-0,172;0;0
-0,171;-0,171;5,55111512312578E-17;3,24626615387473E-16
-0,17;-0,17;2,77555756156289E-17;1,63268091856641E-16
-0,169;-0,169;5,55111512312578E-17;3,28468350480816E-16
-0,168;-0,168;5,55111512312578E-17;3,30423519233678E-16
-0,167;-0,167;8,32667268468867E-17;4,98603154771778E-16
-0,166;-0,166;8,32667268468867E-17;5,01606788234258E-16
-0,165;-0,165;5,55111512312578E-17;3,36431219583381E-16
-0,164;-0,164;2,77555756156289E-17;1,69241314729445E-16
-0,163;-0,163;5,55111512312578E-17;3,40559210007717E-16
-0,162;-0,162;2,77555756156289E-17;1,71330713676722E-16
-0,161;-0,161;5,55111512312578E-17;3,4478975920036E-16
-0,16;-0,16;2,77555756156289E-17;1,73472347597681E-16
-0,159;-0,159;8,32667268468867E-17;5,23690105955263E-16
-0,158;-0,158;2,77555756156289E-17;1,75668200098917E-16
-0,157;-0,157;1,11022302462516E-16;7,07148423328126E-16
-0,156;-0,156;2,77555756156289E-17;1,77920356510442E-16
-0,155;-0,155;5,55111512312578E-17;3,58136459556503E-16
-0,154;-0,154;5,55111512312578E-17;3,60462020982195E-16
-0,153;-0,153;5,55111512312578E-17;3,62817981903647E-16
-0,152;-0,152;2,77555756156289E-17;1,82602471155454E-16
-0,151;-0,151;5,55111512312578E-17;3,67623518087801E-16
-0,15;-0,15;5,55111512312578E-17;3,7007434154172E-16
-0,149;-0,149;2,77555756156289E-17;1,86279030977376E-16
-0,148;-0,148;8,32667268468867E-17;5,62613019235722E-16
-0,147;-0,147;2,77555756156289E-17;1,88813439562102E-16
-0,146;-0,146;1,11022302462516E-16;7,60426729195314E-16
-0,145;-0,145;8,32667268468867E-17;5,7425328859922E-16
-0,144;-0,144;5,55111512312578E-17;3,85494105772625E-16
-0,143;-0,143;5,55111512312578E-17;3,88189868750055E-16
-0,142;-0,142;5,55111512312578E-17;3,90923600220127E-16
-0,141;-0,141;5,55111512312578E-17;3,93696108023106E-16
-0,14;-0,14;2,77555756156289E-17;1,98254111540207E-16
-0,139;-0,139;5,55111512312578E-17;3,99360800224877E-16
-0,138;-0,138;5,55111512312578E-17;4,02254719067087E-16
-0,137;-0,137;2,77555756156289E-17;2,02595442449847E-16
-0,136;-0,136;2,77555756156289E-17;2,04085114820801E-16
-0,135;-0,135;0;0
-0,134;-0,134;0;0
-0,133;-0,133;5,55111512312578E-17;4,17377076926752E-16
-0,132;-0,132;2,77555756156289E-17;2,10269512239613E-16
-0,131;-0,131;5,55111512312578E-17;4,23749246040137E-16
-0,13;-0,13;8,32667268468867E-17;6,40513283437591E-16
-0,129;-0,129;2,77555756156289E-17;2,15159500896349E-16
-0,128;-0,128;5,55111512312578E-17;4,33680868994203E-16
-0,127;-0,127;8,32667268468867E-17;6,55643518479424E-16
-0,126;-0,126;8,32667268468867E-17;6,60847038467357E-16
-0,125;-0,125;1,11022302462516E-16;8,88178419700127E-16
