x;g_ginvx;absoluteError;relativeError
-95,0000000000003;-95,0000000000003;0;0
-94,9000000000003;-94,9000000000003;0;0
-94,8000000000003;-94,8000000000003;0;0
-94,7000000000003;-94,7000000000003;0;0
-94,6000000000003;-94,6000000000003;0;0
-94,5000000000003;-94,5000000000003;0;0
-94,4000000000003;-94,4000000000003;0;0
-94,3000000000003;-94,3000000000003;0;0
-94,2000000000003;-94,2000000000003;0;0
-94,1000000000003;-94,1000000000003;0;0
-94,0000000000003;-94,0000000000003;0;0
-93,9000000000003;-93,9000000000003;0;0
-93,8000000000004;-93,8000000000004;0;0
-93,7000000000004;-93,7000000000004;0;0
-93,6000000000004;-93,6000000000004;0;0
-93,5000000000004;-93,5000000000004;0;0
-93,4000000000004;-93,4000000000004;0;0
-93,3000000000004;-93,3000000000004;0;0
-93,2000000000004;-93,2000000000004;0;0
-93,1000000000004;-93,1000000000004;0;0
-93,0000000000004;-93,0000000000004;0;0
-92,9000000000004;-92,9000000000004;0;0
-92,8000000000004;-92,8000000000004;0;0
-92,7000000000004;-92,7000000000004;0;0
-92,6000000000004;-92,6000000000004;0;0
-92,5000000000004;-92,5000000000004;0;0
-92,4000000000004;-92,4000000000004;0;0
-92,3000000000004;-92,3000000000004;0;0
-92,2000000000004;-92,2000000000004;0;0
-92,1000000000004;-92,1000000000004;0;0
-92,0000000000005;-92,0000000000005;0;0
-91,9000000000005;-91,9000000000005;0;0
-91,8000000000005;-91,8000000000005;0;0
-91,7000000000005;-91,7000000000005;0;0
-91,6000000000005;-91,6000000000005;0;0
-91,5000000000005;-91,5000000000005;0;0
-91,4000000000005;-91,4000000000005;0;0
-91,3000000000005;-91,3000000000005;0;0
-91,2000000000005;-91,2000000000005;0;0
-91,1000000000005;-91,1000000000005;0;0
-91,0000000000005;-91,0000000000005;0;0
-90,9000000000005;-90,9000000000005;0;0
-90,8000000000005;-90,8000000000005;0;0
-90,7000000000005;-90,7000000000005;0;0
-90,6000000000005;-90,6000000000005;0;0
-90,5000000000005;-90,5000000000005;0;0
-90,4000000000005;-90,4000000000005;0;0
-90,3000000000006;-90,3000000000006;0;0
-90,2000000000006;-90,2000000000006;0;0
-90,1000000000006;-90,1000000000006;0;0
-90,0000000000006;-90,0000000000006;0;0
-89,9000000000006;-89,9000000000006;0;0
-89,8000000000006;-89,8000000000006;0;0
-89,7000000000006;-89,7000000000006;0;0
-89,6000000000006;-89,6000000000006;0;0
-89,5000000000006;-89,5000000000006;0;0
-89,4000000000006;-89,4000000000006;0;0
-89,3000000000006;-89,3000000000006;0;0
-89,2000000000006;-89,2000000000006;0;0
-89,1000000000006;-89,1000000000006;0;0
-89,0000000000006;-89,0000000000006;0;0
-88,9000000000006;-88,9000000000006;0;0
-88,8000000000006;-88,8000000000006;0;0
-88,7000000000006;-88,7000000000006;0;0
-88,6000000000006;-88,6000000000006;0;0
-88,5000000000007;-88,5000000000007;0;0
-88,4000000000007;-88,4000000000007;0;0
-88,3000000000007;-88,3000000000007;0;0
-88,2000000000007;-88,2000000000007;0;0
-88,1000000000007;-88,1000000000007;0;0
-88,0000000000007;-88,0000000000007;0;0
-87,9000000000007;-87,9000000000007;0;0
-87,8000000000007;-87,8000000000007;0;0
-87,7000000000007;-87,7000000000007;0;0
-87,6000000000007;-87,6000000000007;0;0
-87,5000000000007;-87,5000000000007;0;0
-87,4000000000007;-87,4000000000007;0;0
-87,3000000000007;-87,3000000000007;0;0
-87,2000000000007;-87,2000000000007;0;0
-87,1000000000007;-87,1000000000007;0;0
-87,0000000000007;-87,0000000000007;0;0
-86,9000000000007;-86,9000000000007;0;0
-86,8000000000008;-86,8000000000008;0;0
-86,7000000000008;-86,7000000000008;0;0
-86,6000000000008;-86,6000000000008;0;0
-86,5000000000008;-86,5000000000008;0;0
-86,4000000000008;-86,4000000000008;0;0
