x;g_ginvx;absoluteError;relativeError
-39,7999999999999;-39,7999999999999;1,4210854715202E-14;3,5705665113573E-16
-39,6999999999999;-39,6999999999999;3,5527136788005E-14;8,94890095415746E-16
-39,5999999999999;-39,5999999999999;7,105427357601E-15;1,79429983777804E-16
-39,4999999999999;-39,4999999999999;3,5527136788005E-14;8,99421184506459E-16
-39,3999999999998;-39,3999999999999;3,5527136788005E-14;9,01703979390993E-16
-39,2999999999998;-39,2999999999999;4,2632564145606E-14;1,08479806986275E-15
-39,1999999999998;-39,1999999999998;7,105427357601E-15;1,81260901979618E-16
-39,0999999999998;-39,0999999999999;7,8159700933611E-14;1,99896933334044E-15
-38,9999999999998;-38,9999999999998;2,1316282072803E-14;5,4657133520008E-16
-38,8999999999998;-38,8999999999998;1,4210854715202E-14;3,65317601933215E-16
-38,7999999999998;-38,7999999999999;3,5527136788005E-14;9,15647855360957E-16
-38,6999999999998;-38,6999999999998;2,1316282072803E-14;5,50808322294654E-16
-38,5999999999998;-38,5999999999998;7,105427357601E-15;1,84078428953395E-16
-38,4999999999998;-38,4999999999998;0;0
-38,3999999999998;-38,3999999999999;7,8159700933611E-14;2,03540887847946E-15
-38,2999999999998;-38,2999999999998;0;0
-38,1999999999998;-38,1999999999999;2,1316282072803E-14;5,58017855308981E-16
-38,0999999999998;-38,0999999999998;2,8421709430404E-14;7,45976625469925E-16
-37,9999999999998;-37,9999999999999;2,1316282072803E-14;5,60954791389555E-16
-37,8999999999998;-37,8999999999999;3,5527136788005E-14;9,37391471979027E-16
-37,7999999999998;-37,7999999999998;7,105427357601E-15;1,87974268719604E-16
-37,6999999999998;-37,6999999999999;4,9737991503207E-14;1,31931011944847E-15
-37,5999999999998;-37,5999999999998;1,4210854715202E-14;3,77948263702183E-16
-37,4999999999998;-37,4999999999999;5,6843418860808E-14;1,51582450295489E-15
-37,3999999999998;-37,3999999999998;2,1316282072803E-14;5,6995406611773E-16
-37,2999999999998;-37,2999999999998;2,8421709430404E-14;7,61976124139522E-16
-37,1999999999998;-37,1999999999998;1,4210854715202E-14;3,82012223526938E-16
-37,0999999999998;-37,0999999999999;5,6843418860808E-14;1,53216762428054E-15
-36,9999999999998;-36,9999999999999;4,2632564145606E-14;1,15223146339476E-15
-36,8999999999998;-36,8999999999998;2,8421709430404E-14;7,70236027924232E-16
-36,7999999999998;-36,7999999999998;2,8421709430404E-14;7,72329060608808E-16
-36,6999999999998;-36,6999999999998;7,105427357601E-15;1,93608374866513E-16
-36,5999999999998;-36,5999999999999;6,3948846218409E-14;1,74723623547566E-15
-36,4999999999998;-36,4999999999998;2,8421709430404E-14;7,78676970696005E-16
-36,3999999999998;-36,3999999999998;3,5527136788005E-14;9,76020241428713E-16
-36,2999999999998;-36,2999999999998;1,4210854715202E-14;3,91483600969754E-16
