x;ginv_gx;absoluteError;relativeError
-44,3999999999999;-44,4000000000883;8,83986217559141E-11;1,99095994945356E-12
-44,2999999999999;-44,3000000000838;8,3929307947983E-11;1,89456677083125E-12
-44,1999999999999;-44,1999999999618;3,80850906367414E-11;8,6165363431616E-13
-44,0999999999999;-44,0999999999626;3,73532316189085E-11;8,47012054851251E-13
-43,9999999999999;-43,9999999999828;1,71098690771032E-11;3,88860660843407E-13
-43,8999999999999;-43,8999999999896;1,03028696685215E-11;2,34689514089382E-13
-43,7999999999999;-43,7999999999947;5,17275111633353E-12;1,18099340555574E-13
-43,6999999999999;-43,7000000000449;4,49915660283295E-11;1,02955528668841E-12
-43,5999999999999;-43,6000000000549;5,49889023204742E-11;1,26121335597259E-12
-43,4999999999999;-43,5000000000487;4,88284968014341E-11;1,12249417934205E-12
-43,3999999999999;-43,4000000000657;6,58388898955309E-11;1,51702511279795E-12
-43,2999999999999;-43,3000000000016;1,72661884789704E-12;3,98757239699071E-14
-43,1999999999999;-43,1999999999758;2,40731878875522E-11;5,57249719619576E-13
-43,0999999999999;-43,0999999999907;9,18021214602049E-12;2,12997961624651E-13
-42,9999999999999;-42,9999999999525;4,74145167572715E-11;1,10266318040288E-12
-42,8999999999999;-42,8999999999543;4,56452653452288E-11;1,06399219919062E-12
-42,7999999999999;-42,8000000000332;3,33102434524335E-11;7,78276716177749E-13
-42,6999999999999;-42,699999999995;4,91695573145989E-12;1,15151188090409E-13
-42,5999999999999;-42,6000000000277;2,77751155408623E-11;6,51998017390711E-13
-42,4999999999999;-42,5000000000277;2,78319589597231E-11;6,54869622581293E-13
-42,3999999999999;-42,4000000000037;3,75877107217093E-12;8,86502611360992E-14
-42,2999999999999;-42,3000000000469;4,69810856884578E-11;1,11066396426491E-12
-42,1999999999999;-42,1999999999691;3,08304493046307E-11;7,30579367408847E-13
-42,0999999999999;-42,1000000000613;6,13766815149575E-11;1,45787842078072E-12
-41,9999999999999;-41,9999999999867;1,32160948851379E-11;3,14668925836716E-13
-41,8999999999999;-41,9000000000376;3,76871867047157E-11;8,99455529944676E-13
-41,7999999999999;-41,8000000000373;3,74029696104117E-11;8,94807885415749E-13
-41,6999999999999;-41,7000000000448;4,48778791906079E-11;1,07620813406618E-12
-41,5999999999999;-41,599999999961;3,88666876460775E-11;9,34295376108507E-13
-41,4999999999999;-41,5000000000279;2,79811729342327E-11;6,74245130944915E-13
-41,3999999999999;-41,4000000000681;6,82689460518304E-11;1,64900835873715E-12
-41,2999999999999;-41,3000000000258;2,59703369920317E-11;6,28821718934998E-13
-41,1999999999999;-41,1999999999933;6,52988774163532E-12;1,58492420913504E-13
-41,0999999999999;-41,1000000000043;4,42668124378542E-12;1,07705139751459E-13
-40,9999999999999;-41,0000000000715;7,15942860551877E-11;1,74620209890397E-12
-40,8999999999999;-40,8999999999585;4,14175360674562E-11;1,01265369358187E-12
-40,7999999999999;-40,8000000000086;8,73257022249163E-12;2,14033583884554E-13
-40,6999999999999;-40,6999999999571;4,27675672654004E-11;1,05080017851217E-12
-40,5999999999999;-40,6000000000126;1,27542421068938E-11;3,1414389425837E-13
-40,4999999999999;-40,5000000000103;1,04805053524615E-11;2,58777909937254E-13
-40,3999999999999;-40,4000000000668;6,69331257086014E-11;1,65676053733888E-12
-40,2999999999999;-40,3000000000008;9,09494701772928E-13;2,25681067437447E-14
-40,1999999999999;-40,2000000000209;2,09894324143534E-11;5,2212518443638E-13
-40,0999999999999;-40,1000000000952;9,53050971475022E-11;2,37668571439591E-12
-39,9999999999999;-39,9999999999725;2,73630007541215E-11;6,84075018853507E-13
-39,8999999999999;-39,899999999987;1,28466126625426E-11;3,21970242169093E-13
-39,7999999999999;-39,8000000000774;7,75770558902877E-11;1,94917225854615E-12
-39,6999999999999;-39,7000000000147;1,48006051858829E-11;3,72811213750061E-13
-39,5999999999999;-39,600000000032;3,21449533657869E-11;8,11741246610125E-13
-39,4999999999999;-39,5000000000071;7,23332505003782E-12;1,83122153165482E-13
-39,3999999999998;-39,4000000000753;7,54738493924378E-11;1,91557993381456E-12
-39,2999999999998;-39,3000000000081;8,22808488010196E-12;2,09366027483467E-13
-39,1999999999998;-39,1999999999936;6,21724893790088E-12;1,58603289232191E-13
