x;absoluteErrorrelativeError;result
-35,5999999999998;0;0;-35,5999999999998
-35,4999999999998;0;0;-35,4999999999998
-35,3999999999998;0;0;-35,3999999999998
-35,2999999999998;0;0;-35,2999999999998
-35,1999999999998;0;0;-35,1999999999998
-35,0999999999998;0;0;-35,0999999999998
-34,9999999999998;0;0;-34,9999999999998
-34,8999999999998;0;0;-34,8999999999998
-34,7999999999998;0;0;-34,7999999999998
-34,6999999999998;0;0;-34,6999999999998
-34,5999999999998;0;0;-34,5999999999998
-34,4999999999998;0;0;-34,4999999999998
-34,3999999999998;0;0;-34,3999999999998
-34,2999999999998;0;0;-34,2999999999998
-34,1999999999998;0;0;-34,1999999999998
-34,0999999999998;0;0;-34,0999999999998
-33,9999999999998;0;0;-33,9999999999998
-33,8999999999998;0;0;-33,8999999999998
-33,7999999999998;0;0;-33,7999999999998
-33,6999999999998;0;0;-33,6999999999998
-33,5999999999998;0;0;-33,5999999999998
-33,4999999999998;0;0;-33,4999999999998
-33,3999999999998;0;0;-33,3999999999998
-33,2999999999998;0;0;-33,2999999999998
-33,1999999999998;0;0;-33,1999999999998
-33,0999999999998;0;0;-33,0999999999998
-32,9999999999998;0;0;-32,9999999999998
-32,8999999999998;0;0;-32,8999999999998
-32,7999999999998;0;0;-32,7999999999998
-32,6999999999998;0;0;-32,6999999999998
-32,5999999999998;0;0;-32,5999999999998
-32,4999999999998;0;0;-32,4999999999998
-32,3999999999998;0;0;-32,3999999999998
-32,2999999999997;0;0;-32,2999999999997
-32,1999999999997;0;0;-32,1999999999997
-32,0999999999997;0;0;-32,0999999999997
-31,9999999999997;0;0;-31,9999999999997
-31,8999999999997;0;0;-31,8999999999997
-31,7999999999997;0;0;-31,7999999999997
-31,6999999999997;0;0;-31,6999999999997
-31,5999999999997;0;0;-31,5999999999997
-31,4999999999997;0;0;-31,4999999999997
-31,3999999999997;0;0;-31,3999999999997
-31,2999999999997;0;0;-31,2999999999997
-31,1999999999997;0;0;-31,1999999999997
-31,0999999999997;0;0;-31,0999999999997
-30,9999999999997;0;0;-30,9999999999997
-30,8999999999997;0;0;-30,8999999999997
-30,7999999999997;0;0;-30,7999999999997
-30,6999999999997;0;0;-30,6999999999997
-30,5999999999997;0;0;-30,5999999999997
-30,4999999999997;0;0;-30,4999999999997
-30,3999999999997;0;0;-30,3999999999997
-30,2999999999997;0;0;-30,2999999999997
-30,1999999999997;0;0;-30,1999999999997
-30,0999999999997;0;0;-30,0999999999997
-29,9999999999997;0;0;-29,9999999999997
-29,8999999999997;0;0;-29,8999999999997
-29,7999999999997;0;0;-29,7999999999997
-29,6999999999997;0;0;-29,6999999999997
-29,5999999999997;0;0;-29,5999999999997
-29,4999999999997;0;0;-29,4999999999997
-29,3999999999997;0;0;-29,3999999999997
-29,2999999999997;0;0;-29,2999999999997
-29,1999999999997;0;0;-29,1999999999997
-29,0999999999997;0;0;-29,0999999999997
-28,9999999999997;0;0;-28,9999999999997
-28,8999999999997;0;0;-28,8999999999997
-28,7999999999997;0;0;-28,7999999999997
-28,6999999999997;0;0;-28,6999999999997
-28,5999999999997;0;0;-28,5999999999997
-28,4999999999997;0;0;-28,4999999999997
-28,3999999999997;0;0;-28,3999999999997
-28,2999999999997;0;0;-28,2999999999997
-28,1999999999997;0;0;-28,1999999999997
-28,0999999999997;0;0;-28,0999999999997
-27,9999999999997;0;0;-27,9999999999997
-27,8999999999997;0;0;-27,8999999999997
-27,7999999999997;0;0;-27,7999999999997
-27,6999999999997;0;0;-27,6999999999997
-27,5999999999997;0;0;-27,5999999999997
-27,4999999999997;0;0;-27,4999999999997
-27,3999999999997;0;0;-27,3999999999997
-27,2999999999997;0;0;-27,2999999999997
-27,1999999999997;0;0;-27,1999999999997
-27,0999999999997;0;0;-27,0999999999997
-26,9999999999997;0;0;-26,9999999999997
-26,8999999999997;0;0;-26,8999999999997
-26,7999999999997;0;0;-26,7999999999997
-26,6999999999997;0;0;-26,6999999999997
-26,5999999999997;0;0;-26,5999999999997
-26,4999999999997;0;0;-26,4999999999997
-26,3999999999997;0;0;-26,3999999999997
-26,2999999999997;0;0;-26,2999999999997
-26,1999999999997;0;0;-26,1999999999997
-26,0999999999997;0;0;-26,0999999999997
-25,9999999999997;0;0;-25,9999999999997
-25,8999999999997;0;0;-25,8999999999997
-25,7999999999997;0;0;-25,7999999999997
-25,6999999999997;0;0;-25,6999999999997
-25,5999999999997;0;0;-25,5999999999997
-25,4999999999997;0;0;-25,4999999999997
-25,3999999999997;0;0;-25,3999999999997
-25,2999999999996;0;0;-25,2999999999996
-25,1999999999996;0;0;-25,1999999999996
-25,0999999999996;0;0;-25,0999999999996
-24,9999999999996;0;0;-24,9999999999996
-24,8999999999996;0;0;-24,8999999999996
