x;absoluteError;relativeError;result
0,1;1,38777878078145E-17;1,38777878078145E-16;0,1
0,2;2,77555756156289E-17;1,38777878078145E-16;0,2
0,3;5,55111512312578E-17;1,85037170770859E-16;0,3
0,4;5,55111512312578E-17;1,38777878078145E-16;0,4
0,5;2,22044604925031E-16;4,44089209850062E-16;0,5
0,6;0;0;0,6
0,7;0;0;0,7
0,8;0;0;0,8
0,9;0;0;0,9
1;0;0;1
1,1;0;0;1,1
1,2;0;0;1,2
1,3;0;0;1,3
1,4;0;0;1,4
1,5;2,22044604925031E-16;1,48029736616688E-16;1,5
1,6;0;0;1,6
1,7;0;0;1,7
1,8;0;0;1,8
1,9;2,22044604925031E-16;1,1686558153949E-16;1,9
2;0;0;2
2,1;0;0;2,1
2,2;0;0;2,2
2,3;0;0;2,3
2,4;0;0;2,4
2,5;0;0;2,5
2,6;0;0;2,6
2,7;0;0;2,7
2,8;0;0;2,8
2,9;0;0;2,9
3;0;0;3
3,1;4,44089209850063E-16;1,43254583822601E-16;3,1
3,2;0;0;3,2
3,3;0;0;3,3
3,4;4,44089209850063E-16;1,30614473485312E-16;3,4
3,5;0;0;3,5
3,6;0;0;3,6
3,7;4,44089209850063E-16;1,20024110770287E-16;3,7
3,8;0;0;3,8
3,9;0;0;3,9
4;0;0;4
4,1;0;0;4,1
4,2;0;0;4,2
4,3;0;0;4,3
4,4;8,88178419700125E-16;2,01858731750028E-16;4,4
4,5;0;0;4,5
4,6;0;0;4,6
4,7;0;0;4,7
4,8;0;0;4,8
4,9;8,88178419700125E-16;1,81260901979617E-16;4,9
5;0;0;5
5,1;8,88178419700125E-16;1,7415263131375E-16;5,1
5,2;0;0;5,2
5,3;0;0;5,3
5,4;0;0;5,4
5,5;0;0;5,5
5,6;0;0;5,6
5,7;0;0;5,7
5,8;8,88178419700125E-16;1,53134210293125E-16;5,8
5,9;8,88178419700125E-16;1,50538715203411E-16;5,9
5,99999999999999;8,88178419700125E-16;1,48029736616688E-16;6
6,09999999999999;8,88178419700125E-16;1,45603019622971E-16;6,1
6,19999999999999;8,88178419700125E-16;1,43254583822601E-16;6,19999999999999
6,29999999999999;8,88178419700125E-16;1,40980701539703E-16;6,29999999999999
6,39999999999999;1,77635683940025E-15;2,77555756156289E-16;6,4
6,49999999999999;8,88178419700125E-16;1,36642833800019E-16;6,49999999999999
6,59999999999999;8,88178419700125E-16;1,34572487833352E-16;6,59999999999999
6,69999999999999;8,88178419700125E-16;1,32563943238825E-16;6,69999999999999
6,79999999999999;8,88178419700125E-16;1,30614473485313E-16;6,79999999999999
6,89999999999999;8,88178419700125E-16;1,28721510101468E-16;6,89999999999999
6,99999999999999;1,77635683940025E-15;2,53765262771465E-16;6,99999999999999
7,09999999999999;8,88178419700125E-16;1,2509555207044E-16;7,09999999999999
7,19999999999999;8,88178419700125E-16;1,2335811384724E-16;7,19999999999999
