x;Value;Abs;Rel
0,29;0,254642218373169;4,11559675228546E-13;1,61622718281834E-12
0,3;0,26236426446692;5,71043212715949E-13;2,17652817114774E-12
0,31;0,270027137212277;7,83151321570585E-13;2,9002689494599E-12
0,32;0,277631736597218;1,06198383420519E-12;3,82515287055181E-12
0,33;0,285178942232238;1,42491574095516E-12;4,99656717215694E-12
0,34;0,292669613960927;1,89326332389328E-12;6,46894393393978E-12
0,35;0,300104592447846;2,49250620143471E-12;8,30545837730615E-12
0,36;0,307484699744708;3,25250937294186E-12;1,05777925718186E-11
0,37;0,314810739835824;4,2097991759249E-12;1,33724763585386E-11
0,38;0,322083499163707;5,40606448495851E-12;1,67846676371334E-11
0,39;0,329303747135709;6,89154289190697E-12;2,09276175922853E-11
0,4;0,336472236612489;8,72379946059709E-12;2,59272490003923E-11
0,41;0,343589704379107;1,09703912620773E-11;3,19287543308418E-11
0,42;0,350656871599461;1,37081457296517E-11;3,90927622966249E-11
0,43;0,357674444254789;1,70269909283149E-11;4,76047176447843E-11
0,44;0,364643113566881;2,10284012425177E-11;5,76684447310922E-11
0,45;0,371563556406654;2,58288390675432E-11;6,95139192754404E-11
0,46;0,378436435688685;3,15600878764144E-11;8,3396007618423E-11
0,47;0,385262400752273;3,83715281770947E-11;9,95984246019016E-11
0,48;0,392042087729593;4,64310256909073E-11;1,18433778256567E-10
0,49;0,39877611990144;5,59279289547021E-11;1,40248942089815E-10
